s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
1.042,0.0,0.0,1.02,0.92,0.0,1.13,0.93,0.464,0.5,1.05,0.808,0.5,0.735,0.889,0.886,1.087,0.18,0.0,0.698,0.797,0.884,0.951,0.0,1.212,0.938,0.938,4.0,1.111,0.832,0.773,0.574,0.966,1.238,0.753,0.0,normal
1.0,0.0,0.0,1.01,0.925,0.0,1.13,0.925,0.528,0.507,1.075,0.867,0.474,0.706,0.857,0.857,1.05,0.0,0.0,0.692,0.797,0.874,0.945,0.588,1.2,0.877,0.969,2.75,1.107,0.832,0.865,0.574,0.966,1.262,0.494,0.0,normal
0.993,0.0,0.0,1.01,0.915,0.0,1.174,0.925,0.417,0.51,1.05,0.867,0.474,0.706,0.857,0.867,1.038,0.328,0.0,0.692,0.773,0.874,0.956,0.0,1.212,0.877,1.0,2.75,1.103,0.839,0.879,0.574,0.966,1.238,0.515,0.0,normal
1.0,0.0,0.0,1.02,0.915,0.0,1.174,0.93,0.481,0.507,1.075,0.875,0.474,0.735,0.873,0.886,1.062,0.25,0.0,0.695,0.773,0.884,0.951,0.471,1.212,0.877,1.0,2.75,1.107,0.839,0.872,0.574,0.966,1.238,0.732,0.0,normal
0.944,0.0,0.0,0.939,0.88,0.0,0.826,0.89,0.492,0.504,0.875,0.808,0.263,0.471,0.73,0.8,0.95,0.0,0.0,0.674,0.727,0.8,0.912,0.0,1.175,0.877,1.031,3.0,1.107,0.847,0.887,0.574,0.966,1.262,0.579,0.0,normal
0.993,0.0,0.0,1.02,0.92,0.0,1.174,0.93,0.417,0.509,1.075,0.875,0.474,0.706,0.857,0.876,1.075,0.164,0.0,0.695,0.805,0.874,0.951,0.176,1.212,0.877,1.015,3.0,1.111,0.847,0.894,0.574,0.966,1.262,0.616,0.0,normal
1.0,0.0,0.0,1.02,0.92,0.0,1.13,0.93,0.423,0.51,1.1,0.883,0.474,0.735,0.889,0.886,1.05,0.266,0.0,0.695,0.805,0.874,0.951,0.176,1.225,0.877,1.0,2.75,1.103,0.839,0.894,0.574,0.966,1.238,0.463,0.0,normal
1.0,0.0,0.0,1.02,0.92,0.0,1.13,0.934,0.528,0.509,1.1,0.883,0.5,0.765,0.873,0.886,1.062,0.148,0.0,0.698,0.805,0.884,0.951,0.0,1.212,0.877,1.0,2.75,1.107,0.847,0.922,0.596,0.973,1.286,0.793,0.0,normal
1.0,0.0,0.0,1.02,0.92,0.0,1.174,0.925,0.483,0.51,1.075,0.875,0.474,0.706,0.857,0.886,1.05,0.211,0.0,0.695,0.805,0.874,0.945,0.0,1.212,0.877,1.0,2.75,1.103,0.847,0.894,0.553,0.966,1.262,0.799,0.0,normal
1.0,0.0,0.0,1.01,0.92,0.0,1.13,0.925,0.909,0.509,1.075,0.867,0.474,0.706,0.857,0.886,1.1,0.5,0.0,0.698,0.805,0.884,0.951,0.0,1.25,0.938,1.062,3.0,1.111,0.847,0.894,0.553,0.959,1.238,0.805,0.0,normal
1.0,0.0,0.0,1.01,0.915,0.0,1.826,0.934,0.909,0.51,1.05,0.875,0.447,0.706,0.857,0.886,1.05,0.484,0.0,0.707,0.812,0.874,0.951,0.0,1.212,0.892,1.015,2.75,1.103,0.839,0.894,0.553,0.966,1.238,0.808,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.89,0.506,0.875,0.808,0.237,0.471,0.73,0.81,0.95,0.453,0.0,0.677,0.742,0.8,0.901,0.0,1.112,0.754,0.892,0.75,1.074,0.788,0.837,0.404,0.912,1.071,0.784,0.0,normal
1.0,0.0,0.0,1.02,0.92,0.0,1.13,0.93,0.906,0.511,1.075,0.875,0.474,0.706,0.857,0.886,1.05,0.477,0.015,0.701,0.805,0.884,0.918,0.0,1.212,0.862,1.015,2.75,1.107,0.847,0.901,0.574,0.966,1.238,0.802,0.0,normal
1.0,0.0,0.0,1.03,0.92,0.0,1.13,0.925,0.906,0.513,1.075,0.867,0.474,0.706,0.873,0.886,1.062,0.508,0.015,0.701,0.812,0.905,0.94,0.0,1.312,0.908,1.031,3.0,1.132,0.905,0.908,0.574,0.966,1.238,0.802,0.0,normal
0.993,0.0,0.0,1.01,0.895,0.0,1.087,0.925,0.909,0.514,1.05,0.867,0.474,0.706,0.857,0.876,1.038,0.508,0.0,0.701,0.805,0.874,0.846,0.0,1.2,0.862,1.0,2.75,1.103,0.847,0.901,0.574,0.959,1.238,0.375,0.0,normal
1.0,0.0,0.0,1.01,0.905,0.0,1.13,0.925,0.909,0.497,1.05,0.775,0.474,0.706,0.857,0.857,1.038,0.43,0.0,0.695,0.805,0.874,0.874,0.0,1.212,0.877,1.015,2.75,1.107,0.847,0.908,0.574,0.966,1.238,0.628,0.0,normal
1.0,0.0,0.0,1.01,0.915,0.0,1.13,0.93,0.831,0.494,1.05,0.692,0.474,0.706,0.857,0.857,1.038,0.383,0.0,0.677,0.797,0.863,0.896,0.059,1.212,0.862,0.969,2.75,1.103,0.847,0.901,0.574,0.966,1.238,0.75,0.0,normal
0.937,0.0,0.0,0.929,0.86,0.0,0.783,0.894,0.834,0.501,0.85,0.7,0.263,0.441,0.73,0.752,0.925,0.0,0.0,0.634,0.727,0.779,0.896,0.0,1.062,0.738,0.862,0.75,1.066,0.781,0.858,0.383,0.899,1.024,0.753,0.0,normal
0.993,0.0,0.0,1.01,0.91,0.0,1.13,0.93,0.0,0.501,1.075,0.083,0.447,0.706,0.857,0.867,1.038,0.133,0.0,0.686,0.797,0.863,0.703,0.0,1.175,0.862,0.692,2.5,1.103,0.847,0.901,0.553,0.946,1.214,0.765,0.0,normal
0.93,0.0,0.0,0.929,0.88,0.0,0.783,0.89,0.0,0.489,0.85,0.442,0.263,0.441,0.73,0.79,0.937,0.234,0.0,0.665,0.742,0.779,0.56,0.0,1.087,0.738,0.0,0.5,1.07,0.788,0.837,0.383,0.899,1.024,0.738,0.0,normal
0.937,0.0,0.0,0.939,0.885,0.0,0.783,0.894,0.0,0.499,0.85,0.45,0.263,0.471,0.73,0.8,0.937,0.281,0.108,0.683,0.781,0.842,0.571,0.0,1.175,0.862,0.385,2.5,1.103,0.854,0.794,0.553,0.953,1.214,0.777,0.0,normal
0.993,0.0,0.0,1.02,0.925,0.0,1.13,0.93,0.0,0.503,1.075,0.608,0.474,0.706,0.873,0.876,1.05,0.211,0.185,0.695,0.805,0.874,0.78,0.0,1.2,0.862,0.308,2.5,1.103,0.854,0.894,0.553,0.959,1.214,0.784,0.0,normal
0.937,0.0,0.0,0.939,0.885,0.0,0.826,0.894,0.0,0.501,0.875,0.5,0.263,0.471,0.746,0.81,0.95,0.086,0.185,0.674,0.742,0.789,0.769,0.0,1.1,0.754,0.385,0.5,1.07,0.796,0.837,0.383,0.912,1.048,0.774,0.0,normal
1.0,0.0,0.0,1.01,0.925,0.0,1.174,0.93,0.0,0.489,1.075,0.0,0.474,0.706,0.889,0.886,1.062,0.242,0.138,0.674,0.742,0.789,0.841,0.0,1.1,0.754,0.123,0.75,1.07,0.788,0.837,0.383,0.912,1.024,0.497,0.0,normal
1.0,0.669,0.0,1.02,0.925,0.0,1.13,0.93,0.064,0.499,1.075,0.667,0.474,0.735,0.889,0.886,1.062,0.203,0.0,0.698,0.805,0.874,0.907,0.0,1.2,0.877,0.231,2.75,1.107,0.839,0.922,0.596,0.973,1.143,0.564,0.0,normal
